0.	1.072e+008
2.0833	1.1273e+008
4.1667	1.1825e+008
6.25	1.2378e+008
8.3333	2.0573e+008
10.417	2.3398e+008
12.5	2.6223e+008
14.583	3.2802e+008
16.667	3.5744e+008
18.75	3.8687e+008
20.833	4.4586e+008
22.917	4.7451e+008
25.	5.0317e+008
27.083	5.5565e+008
29.167	5.8276e+008
31.25	6.0987e+008
33.333	6.5701e+008
35.417	6.824e+008
37.5	7.0778e+008
39.583	7.4912e+008
41.667	7.7275e+008
43.75	7.9638e+008
45.833	8.3287e+008
47.917	8.5452e+008
50.	8.7617e+008
52.083	9.0781e+008
54.167	9.2745e+008
56.25	9.471e+008
58.333	9.744e+008
60.417	9.9191e+008
62.5	1.0094e+009
64.583	1.0319e+009
66.667	1.0467e+009
68.75	1.0615e+009
70.833	1.0799e+009
72.917	1.0921e+009
75.	1.1043e+009
77.083	1.1185e+009
79.167	1.1281e+009
81.25	1.1377e+009
83.333	1.1479e+009
85.417	1.1549e+009
87.5	1.1618e+009
89.583	1.168e+009
91.667	1.1721e+009
93.75	1.1763e+009
95.833	1.1787e+009
97.917	1.1801e+009
100.	1.1815e+009
