3.125	96.875	38602555.1010466	-20802431.619396735	0.0	-20802431.619396735	38603792.31337933	0.0	0.0	0.0	0.0
9.375	96.875	115434172.1620338	-20602092.827313572	0.0	-20602092.827313572	115433839.7916093	0.0	0.0	0.0	0.0
15.625	96.875	191154945.62973785	-20203344.619734664	0.0	-20203344.619734664	191155033.90071467	0.0	0.0	0.0	0.0
21.875	96.875	265034564.65133557	-19610027.159816433	0.0	-19610027.159816433	265034540.38782254	0.0	0.0	0.0	0.0
28.125	96.875	336361816.9938188	-18827854.41895588	0.0	-18827854.41895588	336361823.001601	0.0	0.0	0.0	0.0
34.375	96.875	404449704.83517015	-17864359.148230635	0.0	-17864359.148230635	404449702.8381007	0.0	0.0	0.0	0.0
40.625	96.875	468642525.3227571	-16728820.333701737	0.0	-16728820.333701737	468642525.5568998	0.0	0.0	0.0	0.0
46.875	96.875	528322060.9490674	-15432173.834789362	0.0	-15432173.834789362	528322060.6568943	0.0	0.0	0.0	0.0
53.125	96.875	582913566.6476319	-13986907.066277716	0.0	-13986907.066277716	582913566.5546501	0.0	0.0	0.0	0.0
59.375	96.875	631891295.9757597	-12406938.73695241	0.0	-12406938.73695241	631891295.8765885	0.0	0.0	0.0	0.0
65.625	96.875	674783566.7317932	-10707484.805482779	0.0	-10707484.805482779	674783566.6718724	0.0	0.0	0.0	0.0
71.875	96.875	711177302.870791	-8904911.94211546	0.0	-8904911.94211546	711177302.8299274	0.0	0.0	0.0	0.0
78.125	96.875	740722012.8260496	-7016579.909137363	0.0	-7016579.909137363	740722012.8027973	0.0	0.0	0.0	0.0
84.375	96.875	763133164.8872285	-5060674.376019795	0.0	-5060674.376019795	763133164.8758717	0.0	0.0	0.0	0.0
90.625	96.875	778194927.4089906	-3056031.782254333	0.0	-3056031.782254333	778194927.4053041	0.0	0.0	0.0	0.0
96.875	96.875	785762247.3839357	-1021957.9319490956	0.0	-1021957.9319490956	785762247.383992	0.0	0.0	0.0	0.0
