3.125	96.875	-643375918.3507767	346707193.6566122	0.0	346707193.6566122	-643396538.5563222	0.0	0.0	0.0	0.0
9.375	96.875	-1923902869.36723	343368213.7885595	0.0	343368213.7885595	-1923897329.860155	0.0	0.0	0.0	0.0
15.625	96.875	-3185915760.4956307	336722410.32891107	0.0	336722410.32891107	-3185917231.6785774	0.0	0.0	0.0	0.0
21.875	96.875	-4417242744.188927	326833785.9969405	0.0	326833785.9969405	-4417242339.797043	0.0	0.0	0.0	0.0
28.125	96.875	-5606030283.230314	313797573.6492647	0.0	313797573.6492647	-5606030383.360016	0.0	0.0	0.0	0.0
34.375	96.875	-6740828413.919503	297739319.1371773	0.0	297739319.1371773	-6740828380.635012	0.0	0.0	0.0	0.0
40.625	96.875	-7810708755.379286	278813672.22836226	0.0	278813672.22836226	-7810708759.281663	0.0	0.0	0.0	0.0
46.875	96.875	-8805367682.484457	257202897.24648938	0.0	257202897.24648938	-8805367677.614906	0.0	0.0	0.0	0.0
53.125	96.875	-9715226110.793867	233115117.77129528	0.0	233115117.77129528	-9715226109.244167	0.0	0.0	0.0	0.0
59.375	96.875	-10531521599.595997	206782312.28254017	0.0	206782312.28254017	-10531521597.943144	0.0	0.0	0.0	0.0
65.625	96.875	-11246392778.86322	178458080.09137967	0.0	178458080.09137967	-11246392777.86454	0.0	0.0	0.0	0.0
71.875	96.875	-11852955047.846518	148415199.03525764	0.0	148415199.03525764	-11852955047.165459	0.0	0.0	0.0	0.0
78.125	96.875	-12345366880.43416	116942998.48562272	0.0	116942998.48562272	-12345366880.046621	0.0	0.0	0.0	0.0
84.375	96.875	-12718886081.453808	84344572.93366326	0.0	84344572.93366326	-12718886081.26453	0.0	0.0	0.0	0.0
90.625	96.875	-12969915456.81651	50933863.03757222	0.0	50933863.03757222	-12969915456.75507	0.0	0.0	0.0	0.0
96.875	96.875	-13096037456.39893	17032632.199151594	0.0	17032632.199151594	-13096037456.399866	0.0	0.0	0.0	0.0
