3.125	96.875	55567282.97650139
9.375	96.875	121418223.77119035
15.625	96.875	194632066.92561147
21.875	96.875	267396667.66824585
28.125	96.875	338077269.41774595
34.375	96.875	405733991.11226475
40.625	96.875	469614444.66522926
46.875	96.875	529055732.4436347
53.125	96.875	583459834.8346124
59.375	96.875	632287842.3118011
65.625	96.875	675060190.4658952
71.875	96.875	711358892.837971
78.125	96.875	740830323.5756514
84.375	96.875	763187934.8230613
90.625	96.875	778214620.3545786
96.875	96.875	785764576.0772479
