0.	1.1144e+008
2.0833	1.131e+008
4.1667	1.1476e+008
6.25	1.1642e+008
8.3333	3.0391e+008
10.417	3.1238e+008
12.5	3.2086e+008
14.583	4.5106e+008
16.667	4.5989e+008
18.75	4.6872e+008
20.833	5.783e+008
22.917	5.8689e+008
25.	5.9549e+008
27.083	6.8864e+008
29.167	6.9677e+008
31.25	7.0491e+008
33.333	7.8417e+008
35.417	7.9178e+008
37.5	7.994e+008
39.583	8.6582e+008
41.667	8.7291e+008
43.75	8.8e+008
45.833	9.3564e+008
47.917	9.4214e+008
50.	9.4863e+008
52.083	9.9472e+008
54.167	1.0006e+009
56.25	1.0065e+009
58.333	1.0441e+009
60.417	1.0494e+009
62.5	1.0546e+009
64.583	1.0849e+009
66.667	1.0893e+009
68.75	1.0938e+009
70.833	1.1177e+009
72.917	1.1214e+009
75.	1.125e+009
77.083	1.1432e+009
79.167	1.146e+009
81.25	1.1489e+009
83.333	1.1619e+009
85.417	1.164e+009
87.5	1.1661e+009
89.583	1.1743e+009
91.667	1.1755e+009
93.75	1.1768e+009
95.833	1.1807e+009
97.917	1.1811e+009
100.	1.1815e+009
