3.125	96.875	62.54461265300108	125.08922530600216	125.08908106152191	9.671764577901601e+17	9.671764577901601e+17	146.3887974752246	146.39422734596775	73.19711367298387
9.375	96.875	17.997848072107566	35.99569614421513	35.99571330474407	1.6608174322571397e+18	1.6608174322571397e+18	43.68889234578647	43.688810443103705	21.84440522155185
15.625	96.875	10.681009140186454	21.362018280372908	21.36201233001384	2.1404145744224271e+18	2.1404145744224271e+18	25.965958847116134	25.965986469329575	12.982993234664788
21.875	96.875	7.665846094152505	15.33169218830501	15.33169167494283	1.9478658641848763e+18	1.9478658641848763e+18	18.64274935950199	18.642751731921145	9.321375865960572
28.125	96.875	6.027978357397242	12.055956714794483	12.055956372861992	1.6576020738048602e+18	1.6576020738048602e+18	14.661684711360124	14.661686289769834	7.330843144884917
34.375	96.875	5.0080184540442305	10.016036908088461	10.016036863756106	1.447248123349353e+18	1.447248123349353e+18	12.181732734806479	12.181732939327773	6.090866469663887
40.625	96.875	4.319484522295662	8.638969044591324	8.63896908256298	1.290864032589402e+18	1.290864032589402e+18	10.507335977594797	10.507335802549253	5.253667901274627
46.875	96.875	3.8301424732922102	7.6602849465844205	7.660285031188075	1.1761203851004518e+18	1.1761203851004518e+18	9.31722292831199	9.317222538353922	4.658611269176961
53.125	96.875	3.470595823754617	6.941191647509234	6.9411917526746265	1.0907428124024069e+18	1.0907428124024069e+18	8.442726672145604	8.442726187484633	4.221363093742316
59.375	96.875	3.2010575721888745	6.402115144377749	6.402115259841999	1.0278040745200786e+18	1.0278040745200786e+18	7.787123335280895	7.787122803213014	3.893561401606507
65.625	96.875	2.9972329046738118	5.9944658093476235	5.994465929515434	9.830229428312166e+17	9.830229428312166e+17	7.29134223991478	7.291341686214216	3.645670843107108
71.875	96.875	2.8436160184309185	5.687232036861837	5.687232159023288	9.544709638375027e+17	9.544709638375027e+17	6.917678487310363	6.917677924454008	3.458838962227004
78.125	96.875	2.7300341009163684	5.460068201832737	5.460068324634452	9.4089450240994e+17	9.4089450240994e+17	6.641393406878776	6.641392841094055	3.3206964205470273
84.375	96.875	2.6497541564741756	5.299508312948351	5.299508435796326	9.446907465962947e+17	9.446907465962947e+17	6.446112569053459	6.446112003070416	3.223056001535208
90.625	96.875	2.598403823688879	5.196807647377758	5.196807770083036	9.452956095014012e+17	9.452956095014012e+17	6.321202145974568	6.321201580658194	3.160600790329097
96.875	96.875	2.573348808272581	5.146697616545162	5.146697739133802	8.741337254993267e+17	8.741337254993267e+17	6.2602552330492305	6.260254668274667	3.1301273341373337
